147532900,0.069690,2712
735804507,0.100964,1763
164591000,0.084407,12416
702756017,0.024713,14891
559292134,0.011430,11374
728121307,0.011234,26437
422694131,0.009285,6139
1197997075,0.009466,10142
91562051,0.074180,3842
806080936,0.164024,10468
45881679,0.111799,3068
562691095,0.020619,22940
577185544,0.091468,4231
519581998,0.036559,9683
5206615,0.044421,7564
702175423,0.025617,5270
1178425346,0.006325,11068
21231376,0.116509,5270
208364635,0.007920,11869
358677502,0.052325,12346
334733874,0.072737,3602
342461178,0.077146,5185
1083818138,0.014762,2100
61621601,0.008551,98235
257912103,0.086359,6693
34600853,0.065926,2609
870262730,0.010084,9322
41936390,0.109225,1355
357698104,0.080154,3905
1228489376,0.050748,10030
397258,0.064067,3231
760811735,0.022387,23674
268158812,0.012804,55609
241326293,0.140987,5348
131068439,0.148930,3646
40996749,0.083290,3806
34178676,0.023059,13964
404555920,0.004103,76521
1000174323,0.039403,15938
946088348,0.019291,29651
1336516302,0.115622,3079
892264311,0.042432,25358
826002594,0.072800,6511
521774942,0.173636,2511
407979423,0.016667,3000
667152922,0.225425,1943
299316145,0.027931,12137
109887485,0.034338,12843
2150925768,0.004888,63421
152817264,0.003856,2334
150062536,0.052693,22109
2566213873,0.020716,9027
2415992657,0.163465,9788
516731145,0.067493,20980
118543415,0.061332,9473
208833952,0.173262,935
75527984,0.080865,1249
990637471,0.004529,11482
1602026313,0.119025,2134
1071734175,0.061069,4192
519268407,0.076645,20732
160906565,0.069275,7232
153408415,0.042784,15730
730988998,0.038799,15258
482264333,0.016120,5335
815300182,0.008281,25600
1021433028,0.157389,22276
713879730,0.024693,43535
1819471107,0.040501,2074
280460812,0.041062,4481
11189723,0.108626,939
320341045,0.073966,5489
179828026,0.053595,17091
553877187,0.144452,1523
441816376,0.154449,11104
569869327,0.009600,65524
1596453607,0.007623,14037
430413646,0.049866,5956
77377113,0.010573,17214
73809182,0.018168,11779
430090204,0.039856,3337
400945300,0.003640,13738
2177646226,0.002971,140340
114411442,0.024911,7025
993598553,0.012256,13952
9211166,0.007419,11052
475406969,0.032694,2814
819004363,0.006840,38598
588311237,0.031329,3958
2301094184,0.119303,746
304949677,0.059129,7695
30661964,0.008966,12714
119644243,0.014292,34354
233930352,0.087228,8174
168375064,0.048670,17033
2214913963,0.009953,8038
409354266,0.025859,6110
90334434,0.059643,7461
514013312,0.016446,18606
25558042,0.027934,8520
282500622,0.013976,20034
512870726,0.037495,10508
183466294,0.046715,3318
872211276,0.010640,40038
176909687,0.120019,6474
195835100,0.046312,1749
213850978,0.072783,9068
